Region,Year,mean_ndvi,mean_bsi,mean_ndwi,Area_Name,Final_Label,Area_Trend,Risk_Factor,Area_Risk_Trend
23,2023.0,-0.9494329235458602,0.810270079884374,0.626931174531035,Mpus Kutuk Community Conservancy,1,Overall Loss,2.386634177961269,Severe Risk Loss
23,2024.0,-0.669185474270328,0.4287310169894456,0.4868476207132029,Mpus Kutuk Community Conservancy,1,Overall Loss,1.5847641119729765,Severe Risk Loss
23,2025.0,-0.7240695102262733,0.610646297532215,0.5207718989607464,Mpus Kutuk Community Conservancy,1,Overall Loss,1.8554877067192346,Severe Risk Loss
16,2019.0,1.9630043574482507,-1.302485709392993,-1.964860091909533,Ngare Ndare Community Conservancy,2,Overall Gain,5.230350158750777,High Risk Gain
16,2020.0,2.490368906306103,-2.106129478583516,-2.2401770525614486,Ngare Ndare Community Conservancy,2,Overall Gain,6.836675437451068,High Risk Gain
16,2021.0,2.4884130278766365,-2.122246194809446,-2.2148175169279996,Ngare Ndare Community Conservancy,2,Overall Gain,6.825476739614082,High Risk Gain
16,2022.0,0.7292416335370503,-1.2329323745629142,-0.4187812229050368,Ngare Ndare Community Conservancy,2,Overall Gain,2.380955231005001,High Risk Gain
16,2023.0,0.8524497667255263,-1.3079833943811645,-0.5459790060125999,Ngare Ndare Community Conservancy,2,Overall Gain,2.7064121671192907,High Risk Gain
16,2024.0,0.9174729854998426,-1.449122060829143,-0.5598881615545992,Ngare Ndare Community Conservancy,2,Overall Gain,2.926483207883585,High Risk Gain
16,2025.0,0.44956608990656577,-0.7652971986080424,-0.3254943139886207,Ngare Ndare Community Conservancy,2,Overall Gain,1.5403576025032288,High Risk Gain
15,2019.0,1.6434204127808814,-0.6456067774807189,-1.41743772047231,Nailepu,2,Overall Gain,3.70646491073391,High Risk Gain
15,2020.0,2.347536409881999,-1.7817360965172153,-1.8862501937498641,Nailepu,2,Overall Gain,6.015522700149079,High Risk Gain
15,2021.0,2.19564306353846,-1.4856371610580483,-1.7357749859880909,Nailepu,2,Overall Gain,5.417055210584599,High Risk Gain
15,2022.0,0.8110766047714574,-1.2525635390823588,-0.33788540672947315,Nailepu,2,Overall Gain,2.4015255505832895,High Risk Gain
15,2023.0,0.644714034169153,-1.0447044745624772,-0.25352159845897,Nailepu,2,Overall Gain,1.9429401071906,High Risk Gain
15,2024.0,0.8926586813168972,-1.3058935679995811,-0.41564489428142243,Nailepu,2,Overall Gain,2.614197143597901,High Risk Gain
15,2025.0,0.6654516769790407,-1.1708203126717904,-0.293920378672918,Nailepu,2,Overall Gain,2.130192368323749,High Risk Gain
0,2019.0,2.302428310440883,-1.5130504402278848,-2.069014762332665,,2,,5.884493513001432,Stable
0,2020.0,2.548087996256785,-1.8335514477315533,-2.207585357695454,,2,,6.589224801683793,Stable
0,2021.0,2.406766516739398,-1.745441985934948,-2.109220744123417,,2,,6.261429246797764,Stable
0,2022.0,0.7231124487134832,-1.2141879472183668,-0.3473523314086844,,2,,2.2846527273405344,Stable
0,2023.0,0.6593563050194039,-1.1660654946970312,-0.3014925982675116,,2,,2.126914397983947,Stable
