Region,Year,mean_ndvi,mean_bsi,mean_ndwi,Area_Name,Final_Label,Area_Trend,Risk_Factor,Area_Risk_Trend,Mean_Rainfall_mm
18,2019-01-01,-1.9421590385549992,-0.3061328768367116,2.9016324032232137,Ndera Community Conservancy,1,Overall Loss,5.149924318614925,Severe Risk Loss,13.00041977501989
18,2020-01-01,-1.974391829614185,-0.2930450541981118,3.0318278568825607,Ndera Community Conservancy,1,Overall Loss,5.299264740694857,Severe Risk Loss,10.343137506267908
18,2021-01-01,-1.939102610664516,-0.3517387410853244,2.93181242977296,Ndera Community Conservancy,1,Overall Loss,5.2226537815228005,Severe Risk Loss,8.21095485121712
18,2022-01-01,-1.782387226192791,-0.4799108734604211,2.524187750786455,Ndera Community Conservancy,1,Overall Loss,4.786485850439668,Severe Risk Loss,6.160769657361604
18,2023-01-01,-1.8030862122057776,-0.5235225653563097,2.620202881670713,Ndera Community Conservancy,1,Overall Loss,4.9468116592328,Severe Risk Loss,14.462475578198386
18,2024-01-01,-1.753214735352979,-0.4407464769658165,2.47767126887328,Ndera Community Conservancy,1,Overall Loss,4.671632481192075,Severe Risk Loss,9.286745110841512
18,2025-01-01,-1.716888797473474,-0.5188397638435912,2.4384004314576604,Ndera Community Conservancy,1,Overall Loss,4.674128992774726,Severe Risk Loss,1.0141875605242965
22,2019-01-01,-0.5515786946270971,0.9267089638138598,0.2479054299960069,Melako Community Conservancy,0,Overall Stable,1.7261930884369636,Stable,4.017743576525692
22,2020-01-01,1.1373443802803582,-0.3519929304278307,-1.014559322401685,Melako Community Conservancy,2,Overall Stable,2.503896633109874,Stable,5.304296975224687
22,2021-01-01,-0.5868843663816244,1.10208056370368,0.1854835343039044,Melako Community Conservancy,0,Overall Stable,1.8744484643892088,Stable,2.187155042385979
22,2022-01-01,-0.122890697499433,-0.2755262973484982,0.2129176435080068,Melako Community Conservancy,1,Overall Stable,0.6113346383559382,Stable,2.6313298563588607
22,2023-01-01,-1.1039425778662109,0.733512433587969,1.1334773807575764,Melako Community Conservancy,1,Overall Stable,2.9709323922117563,Stable,6.283197178609722
22,2024-01-01,-0.3088249133328511,0.0601357253184754,0.5410201878874066,Melako Community Conservancy,1,Overall Stable,0.9099808265387332,Stable,3.8665324352843062
22,2025-01-01,-0.6847557964876757,0.3674044093944781,0.7147696582777135,Melako Community Conservancy,1,Overall Stable,1.7669298641598674,Stable,1.148568586723964
23,2019-01-01,-0.4825362533788732,1.4883513973946656,-0.3549447433074896,Mpus Kutuk Community Conservancy,0,Overall Loss,2.3258323940810284,Severe Risk Loss,9.957865546628822
23,2020-01-01,-0.1414201935472912,1.0879271043955985,-0.5258076843667928,Mpus Kutuk Community Conservancy,0,Overall Loss,1.755154982309682,Severe Risk Loss,10.135685786466125
23,2021-01-01,-0.6108065224322354,1.7251011064729216,-0.251961358777992,Mpus Kutuk Community Conservancy,0,Overall Loss,2.587868987683149,Severe Risk Loss,6.440586440533165
23,2022-01-01,-0.7889590172553108,0.6057211049011495,0.5802702774090046,Mpus Kutuk Community Conservancy,1,Overall Loss,1.974950399565465,Severe Risk Loss,5.400015526658263
23,2023-01-01,-0.9494329235458602,0.810270079884374,0.626931174531035,Mpus Kutuk Community Conservancy,1,Overall Loss,2.386634177961269,Severe Risk Loss,10.700976652845569
23,2024-01-01,-0.669185474270328,0.4287310169894456,0.4868476207132029,Mpus Kutuk Community Conservancy,1,Overall Loss,1.5847641119729765,Severe Risk Loss,8.655687344079475
23,2025-01-01,-0.7240695102262733,0.610646297532215,0.5207718989607464,Mpus Kutuk Community Conservancy,1,Overall Loss,1.8554877067192344,Severe Risk Loss,3.3042867157297544
16,2019-01-01,1.9630043574482507,-1.302485709392993,-1.964860091909533,Ngare Ndare Community Conservancy,2,Overall Gain,5.230350158750777,High Risk Gain,20.50617701776339
16,2020-01-01,2.490368906306103,-2.106129478583516,-2.2401770525614486,Ngare Ndare Community Conservancy,2,Overall Gain,6.836675437451068,High Risk Gain,19.037279692356066
16,2021-01-01,2.4884130278766365,-2.122246194809446,-2.214817516928,Ngare Ndare Community Conservancy,2,Overall Gain,6.825476739614082,High Risk Gain,12.284039385914848
16,2022-01-01,0.7292416335370503,-1.2329323745629142,-0.4187812229050368,Ngare Ndare Community Conservancy,2,Overall Gain,2.380955231005001,High Risk Gain,9.870426038218078
16,2023-01-01,0.8524497667255263,-1.3079833943811645,-0.5459790060125999,Ngare Ndare Community Conservancy,2,Overall Gain,2.7064121671192907,High Risk Gain,18.150848357933448
16,2024-01-01,0.9174729854998426,-1.449122060829143,-0.5598881615545992,Ngare Ndare Community Conservancy,2,Overall Gain,2.926483207883585,High Risk Gain,15.84138666401077
16,2025-01-01,0.4495660899065657,-0.7652971986080424,-0.3254943139886207,Ngare Ndare Community Conservancy,2,Overall Gain,1.5403576025032288,High Risk Gain,6.378746145985264
15,2019-01-01,1.6434204127808814,-0.6456067774807189,-1.41743772047231,Nailepu,2,Overall Gain,3.70646491073391,High Risk Gain,9.043786405140745
15,2020-01-01,2.347536409881999,-1.781736096517215,-1.886250193749864,Nailepu,2,Overall Gain,6.015522700149079,High Risk Gain,8.331635045733771
15,2021-01-01,2.19564306353846,-1.4856371610580483,-1.7357749859880909,Nailepu,2,Overall Gain,5.417055210584599,High Risk Gain,6.485031751047372
15,2022-01-01,0.8110766047714574,-1.2525635390823588,-0.3378854067294731,Nailepu,2,Overall Gain,2.401525550583289,High Risk Gain,4.762097049298535
15,2023-01-01,0.644714034169153,-1.0447044745624772,-0.25352159845897,Nailepu,2,Overall Gain,1.9429401071906,High Risk Gain,6.386715746454723
15,2024-01-01,0.8926586813168972,-1.3058935679995811,-0.4156448942814224,Nailepu,2,Overall Gain,2.614197143597901,High Risk Gain,9.09413801319712
15,2025-01-01,0.6654516769790407,-1.1708203126717904,-0.293920378672918,Nailepu,2,Overall Gain,2.130192368323749,High Risk Gain,13.734787344610805
