Protected_Area_Name,Year,Mean_Rainfall_mm
Lake Bogoria,2025,5.72749265116857
Lake Elementaita,2019,12.063929341038321
Lake Elementaita,2020,14.860237781100599
Lake Elementaita,2021,10.680238986522138
Lake Elementaita,2022,9.694942309504556
Lake Elementaita,2023,10.609719964801204
Lake Elementaita,2024,14.458716858080429
Lake Elementaita,2025,6.734363177047126
Lake Kanyaboli,2019,25.02022344669332
Lake Kanyaboli,2020,29.199476459711637
Lake Kanyaboli,2021,20.88901068243198
Lake Kanyaboli,2022,23.22849546329248
Lake Kanyaboli,2023,23.926700569111944
Lake Kanyaboli,2024,23.214650150350316
Lake Kanyaboli,2025,12.77648416224946
Lake Naivasha,2019,15.15701724083413
Lake Naivasha,2020,17.580625265695335
Lake Naivasha,2021,12.113002216847873
Lake Naivasha,2022,10.426878200115745
Lake Naivasha,2023,11.849653950339437
Lake Naivasha,2024,19.681308300001568
Lake Naivasha,2025,14.029766198229575
Lake Nakuru,2019,15.194120134336313
Lake Nakuru,2020,19.08327129208006
Lake Nakuru,2021,13.197939442007275
Lake Nakuru,2022,12.78501672049812
Lake Nakuru,2023,13.316020097015985
Lake Nakuru,2024,17.753124608896307
Lake Nakuru,2025,8.065067884063213
Lake Simbi,2019,14.480344444513321
Lake Simbi,2020,17.87064866224925
Lake Simbi,2021,13.970555743409527
Lake Simbi,2022,17.819579710563023
Lake Simbi,2023,15.278578793009123
Lake Simbi,2024,14.52700070043405
Lake Simbi,2025,8.246428728103638
Lake Turkana National Parks,2019,6.413264498671609
Lake Turkana National Parks,2020,6.326091498419828
Lake Turkana National Parks,2021,3.2163812129399942
Lake Turkana National Parks,2022,3.7344656221506836
Lake Turkana National Parks,2023,7.091011743334208
Lake Turkana National Parks,2024,8.069164264550322
Lake Turkana National Parks,2025,0.7875696366893652
Lekurruki Conservancy Trust,2019,13.475784646563548
Lekurruki Conservancy Trust,2020,13.016982444971315
Lekurruki Conservancy Trust,2021,8.344093340835059
Lekurruki Conservancy Trust,2022,6.5325924260111075
Lekurruki Conservancy Trust,2023,13.559676019513875
Lekurruki Conservancy Trust,2024,10.639686196481906
Lekurruki Conservancy Trust,2025,4.760677284907412
Lemek,2019,17.864139280826006
Lemek,2020,21.941252829463775
Lemek,2021,15.276138249227838
Lemek,2022,20.577480819568198
Lemek,2023,17.110732778919825
Lemek,2024,20.50379305403727
Lemek,2025,17.535578339215913
Leparua Community Conservancy,2019,13.89919729927908
Leparua Community Conservancy,2020,13.53671352883667
Leparua Community Conservancy,2021,8.151614044136096
Leparua Community Conservancy,2022,6.839404841743238
Leparua Community Conservancy,2023,13.987978330085049
Leparua Community Conservancy,2024,11.438176917871617
Leparua Community Conservancy,2025,5.458370122333857
Lewa Wildlife Conservancy,2019,18.6926410805052
Lewa Wildlife Conservancy,2020,17.30580391703584
Lewa Wildlife Conservancy,2021,10.654685976926356
Lewa Wildlife Conservancy,2022,8.926390534749245
Lewa Wildlife Conservancy,2023,17.678276468713918
Lewa Wildlife Conservancy,2024,14.820363437144826
Lewa Wildlife Conservancy,2025,7.054559051386288
Loisaba Wilderness,2019,10.286300691226138
Loisaba Wilderness,2020,11.656883189811879
Loisaba Wilderness,2021,6.382881075189234
Loisaba Wilderness,2022,5.298597645346916
Loisaba Wilderness,2023,8.517797449942474
Loisaba Wilderness,2024,8.772312788437382
Loisaba Wilderness,2025,2.4950878345827694
Losai,2019,4.586810537568903
Losai,2020,5.2456130902497
Losai,2021,2.5356805829629074
Losai,2022,3.098681196808344
Losai,2023,6.46418071358929
Losai,2024,4.382686369021037
Losai,2025,1.1388701270124242
